run,split,gene,subset,n,auroc
NT,C,RB1,novel,264,0.8619990164740595
NT,C,RET,shared,172,0.720810647307925
NT,C,RET,novel,428,0.8033811589367145
NT,C,RYR1,shared,179,0.7430313588850174
NT,C,RYR1,novel,588,0.7442734669625426
NT,C,SCN5A,shared,107,0.8098845598845599
NT,C,SCN5A,novel,444,0.818144733621604
NT,C,SDHB,shared,81,0.8654320987654321
NT,C,SDHB,novel,125,0.9129841789416258
NT,C,STK11,shared,207,0.7588904694167852
NT,C,STK11,novel,265,0.8686039886039886
NT,C,TP53,shared,322,0.8976865428478332
NT,C,TP53,novel,197,0.8232222222222222
NT,C,TSC1,shared,239,0.830201048951049
NT,C,TSC1,novel,447,0.7890794441320588
NT,C,TSC2,shared,640,0.818495670995671
NT,C,TSC2,novel,1095,0.7948155773318538
NT,C,VHL,shared,113,0.9202762084118016
NT,C,VHL,novel,155,0.7875586854460094
DNABERT-2 seed 42,A,APC,shared,452,0.949381526420326
DNABERT-2 seed 42,A,APC,novel,682,0.9439548606624456
DNABERT-2 seed 42,A,ATM,shared,352,0.9089584143023708
DNABERT-2 seed 42,A,ATM,novel,799,0.913850261861149
DNABERT-2 seed 42,A,ATP7B,shared,106,0.9001782531194296
DNABERT-2 seed 42,A,ATP7B,novel,294,0.8954711908404024
DNABERT-2 seed 42,A,BRCA1,shared,503,0.9089827354939206
DNABERT-2 seed 42,A,BRCA1,novel,656,0.9244709737827715
DNABERT-2 seed 42,A,BRCA2,shared,347,0.928714859437751
DNABERT-2 seed 42,A,BRCA2,novel,855,0.9268017470011436
DNABERT-2 seed 42,A,CDH1,shared,240,0.9008463390014753
DNABERT-2 seed 42,A,CDH1,novel,263,0.868560467665327
DNABERT-2 seed 42,A,CFTR,shared,215,0.9318723638364204
DNABERT-2 seed 42,A,CFTR,novel,378,0.8881764985861075
DNABERT-2 seed 42,A,CHEK2,shared,254,0.9635807096451774
DNABERT-2 seed 42,A,CHEK2,novel,199,0.9161094224924012
DNABERT-2 seed 42,A,COL1A1,shared,143,0.9621212121212122
DNABERT-2 seed 42,A,COL1A1,novel,355,0.9189477771306542
DNABERT-2 seed 42,A,DMD,shared,280,0.9039164222119294
DNABERT-2 seed 42,A,DMD,novel,903,0.8741927150607078
DNABERT-2 seed 42,A,FBN1,shared,395,0.9469029878828931
DNABERT-2 seed 42,A,FBN1,novel,715,0.9060451977401129
DNABERT-2 seed 42,A,HBB,shared,120,0.9545846507617132
DNABERT-2 seed 42,A,HBB,novel,153,0.9367256637168142
DNABERT-2 seed 42,A,KCNH2,shared,146,0.9573948948948949
DNABERT-2 seed 42,A,KCNH2,novel,285,0.91243459526008
DNABERT-2 seed 42,A,KCNQ1,shared,90,0.8533950617283951
DNABERT-2 seed 42,A,KCNQ1,novel,316,0.9549749544626593
DNABERT-2 seed 42,A,LDLR,shared,366,0.934758210120529
DNABERT-2 seed 42,A,LDLR,novel,303,0.9270089285714286
DNABERT-2 seed 42,A,MECP2,shared,133,0.9570964749536178
DNABERT-2 seed 42,A,MECP2,novel,135,0.9035164835164835
DNABERT-2 seed 42,A,MEN1,shared,161,0.9361839974084872
DNABERT-2 seed 42,A,MEN1,novel,196,0.8979016598809897
DNABERT-2 seed 42,A,MLH1,shared,438,0.9400768535262206
DNABERT-2 seed 42,A,MLH1,novel,308,0.939080760509332
DNABERT-2 seed 42,A,MSH2,shared,736,0.9128988532967718
DNABERT-2 seed 42,A,MSH2,novel,341,0.8616965411006862
DNABERT-2 seed 42,A,MSH6,shared,697,0.9376957323988963
DNABERT-2 seed 42,A,MSH6,novel,451,0.9301482371794871
DNABERT-2 seed 42,A,NF1,shared,399,0.9634349491920706
DNABERT-2 seed 42,A,NF1,novel,732,0.9285561660561661
DNABERT-2 seed 42,A,PALB2,shared,342,0.9333808082606373
DNABERT-2 seed 42,A,PALB2,novel,357,0.9044039005976722
DNABERT-2 seed 42,A,PMS2,shared,307,0.9319238333631324
DNABERT-2 seed 42,A,PMS2,novel,280,0.8956290849673203
DNABERT-2 seed 42,A,PTCH1,shared,247,0.9005028735632183
DNABERT-2 seed 42,A,PTCH1,novel,421,0.8708260953483884
DNABERT-2 seed 42,A,PTEN,shared,269,0.9638663684651942
DNABERT-2 seed 42,A,PTEN,novel,183,0.9177018633540373
DNABERT-2 seed 42,A,RAD51C,shared,109,0.8644189383070301
DNABERT-2 seed 42,A,RAD51C,novel,165,0.8933604760413404
DNABERT-2 seed 42,A,RAD51D,shared,88,0.8959568733153639
DNABERT-2 seed 42,A,RAD51D,novel,118,0.9004629629629629
DNABERT-2 seed 42,A,RB1,shared,188,0.9367074275362319
DNABERT-2 seed 42,A,RB1,novel,320,0.9127186073750959
DNABERT-2 seed 42,A,RET,shared,139,0.8700305810397554
DNABERT-2 seed 42,A,RET,novel,329,0.7478302796528448
DNABERT-2 seed 42,A,RYR1,shared,225,0.7851031154014919
DNABERT-2 seed 42,A,RYR1,novel,935,0.8299652026259462
DNABERT-2 seed 42,A,SCN1A,shared,211,0.9204761904761904
DNABERT-2 seed 42,A,SCN1A,novel,459,0.8732804232804233
DNABERT-2 seed 42,A,SCN5A,shared,101,0.924317617866005
DNABERT-2 seed 42,A,SCN5A,novel,383,0.8740967365967366
DNABERT-2 seed 42,A,SDHB,shared,77,0.8952380952380953
DNABERT-2 seed 42,A,SDHB,novel,94,0.9542970690511674
DNABERT-2 seed 42,A,SLC26A4,shared,78,0.974291364535267
DNABERT-2 seed 42,A,SLC26A4,novel,183,0.9329749103942653
DNABERT-2 seed 42,A,SMAD4,shared,104,0.9738738738738739
DNABERT-2 seed 42,A,SMAD4,novel,186,0.9174486604107167
DNABERT-2 seed 42,A,STK11,shared,176,0.870963270963271
DNABERT-2 seed 42,A,STK11,novel,150,0.8654273590624368
DNABERT-2 seed 42,A,TP53,shared,317,0.8831125192012289
DNABERT-2 seed 42,A,TP53,novel,188,0.850828098229583
DNABERT-2 seed 42,A,TSC1,shared,191,0.8956938866577421
DNABERT-2 seed 42,A,TSC1,novel,364,0.8176134221440241
DNABERT-2 seed 42,A,TSC2,shared,512,0.8780554881501254
DNABERT-2 seed 42,A,TSC2,novel,646,0.8523343665246028
DNABERT-2 seed 42,A,VHL,shared,114,0.9491995073891626
DNABERT-2 seed 42,A,VHL,novel,102,0.8960317460317461
DNABERT-2 seed 42,C,APC,shared,417,0.8086482726640389
DNABERT-2 seed 42,C,APC,novel,721,0.7726453600308048
DNABERT-2 seed 42,C,ATM,shared,371,0.7958223006766696
DNABERT-2 seed 42,C,ATM,novel,916,0.8077803535207186
DNABERT-2 seed 42,C,ATP7B,shared,84,0.7918367346938775
DNABERT-2 seed 42,C,ATP7B,novel,225,0.7016565524028211
DNABERT-2 seed 42,C,BRCA1,shared,333,0.8197505644554349
DNABERT-2 seed 42,C,BRCA1,novel,350,0.8373334419950287
DNABERT-2 seed 42,C,BRCA2,shared,239,0.7806959219858156
DNABERT-2 seed 42,C,BRCA2,novel,629,0.8259017285967062
DNABERT-2 seed 42,C,CDH1,shared,219,0.7664021164021164
DNABERT-2 seed 42,C,CDH1,novel,301,0.7585764809902741
DNABERT-2 seed 42,C,CFTR,shared,145,0.8229473684210526
DNABERT-2 seed 42,C,CFTR,novel,257,0.7774891774891775
DNABERT-2 seed 42,C,CHEK2,shared,237,0.8697376449054302
DNABERT-2 seed 42,C,CHEK2,novel,227,0.8510673234811166
DNABERT-2 seed 42,C,COL1A1,shared,128,0.8528645833333334
DNABERT-2 seed 42,C,COL1A1,novel,314,0.7506085686465434
DNABERT-2 seed 42,C,DMD,shared,197,0.7503628447024674
DNABERT-2 seed 42,C,DMD,novel,653,0.6860794096843876
DNABERT-2 seed 42,C,FBN1,shared,263,0.8688713592233009
DNABERT-2 seed 42,C,FBN1,novel,566,0.7973883369221664
DNABERT-2 seed 42,C,KCNH2,shared,151,0.7894179894179895
DNABERT-2 seed 42,C,KCNH2,novel,223,0.7745950554134697
DNABERT-2 seed 42,C,KCNQ1,shared,117,0.8931818181818182
DNABERT-2 seed 42,C,KCNQ1,novel,453,0.8538261322228006
DNABERT-2 seed 42,C,LDLR,shared,225,0.8082706766917294
DNABERT-2 seed 42,C,LDLR,novel,171,0.771175814990248
DNABERT-2 seed 42,C,MEN1,shared,183,0.7334490453756509
DNABERT-2 seed 42,C,MEN1,novel,234,0.7366735300846489
DNABERT-2 seed 42,C,MLH1,shared,539,0.7709574532105675
DNABERT-2 seed 42,C,MLH1,novel,650,0.7193374019180471
DNABERT-2 seed 42,C,MSH2,shared,937,0.7775186219739293
DNABERT-2 seed 42,C,MSH2,novel,769,0.7597381034881034
DNABERT-2 seed 42,C,MSH6,shared,715,0.8170197044334976
DNABERT-2 seed 42,C,MSH6,novel,556,0.8585534508269972
DNABERT-2 seed 42,C,NF1,shared,403,0.818074028250335
DNABERT-2 seed 42,C,NF1,novel,732,0.8140857984607984
DNABERT-2 seed 42,C,PALB2,shared,344,0.8277876555753112
DNABERT-2 seed 42,C,PALB2,novel,504,0.8033110250088059
DNABERT-2 seed 42,C,PMS2,shared,331,0.8116117216117216
DNABERT-2 seed 42,C,PMS2,novel,392,0.8402750644682347
DNABERT-2 seed 42,C,PTCH1,shared,290,0.7382456140350877
DNABERT-2 seed 42,C,PTCH1,novel,583,0.6940103852191765
DNABERT-2 seed 42,C,PTEN,shared,168,0.8388157894736842
DNABERT-2 seed 42,C,PTEN,novel,109,0.8735593220338983
DNABERT-2 seed 42,C,RAD51C,shared,91,0.8570731707317073
DNABERT-2 seed 42,C,RAD51C,novel,219,0.798468085106383
DNABERT-2 seed 42,C,RAD51D,shared,94,0.7437300501595987
DNABERT-2 seed 42,C,RAD51D,novel,161,0.756338899196042
DNABERT-2 seed 42,C,RB1,shared,151,0.7855263157894737
DNABERT-2 seed 42,C,RB1,novel,264,0.7193877551020408
DNABERT-2 seed 42,C,RET,shared,172,0.7009981851179673
DNABERT-2 seed 42,C,RET,novel,428,0.6629740851963074
DNABERT-2 seed 42,C,RYR1,shared,179,0.6626016260162602
DNABERT-2 seed 42,C,RYR1,novel,588,0.6379157723695539
DNABERT-2 seed 42,C,SCN5A,shared,107,0.801948051948052
DNABERT-2 seed 42,C,SCN5A,novel,444,0.6678224687933426
DNABERT-2 seed 42,C,SDHB,shared,81,0.808641975308642
DNABERT-2 seed 42,C,SDHB,novel,125,0.8150572831423896
DNABERT-2 seed 42,C,STK11,shared,207,0.7586872586872587
DNABERT-2 seed 42,C,STK11,novel,265,0.8147008547008547
DNABERT-2 seed 42,C,TP53,shared,322,0.8243320299771912
DNABERT-2 seed 42,C,TP53,novel,197,0.8251111111111111
DNABERT-2 seed 42,C,TSC1,shared,239,0.7362325174825175
DNABERT-2 seed 42,C,TSC1,novel,447,0.6810788015101614
DNABERT-2 seed 42,C,TSC2,shared,640,0.7587445887445887
DNABERT-2 seed 42,C,TSC2,novel,1095,0.7075540433951418
DNABERT-2 seed 42,C,VHL,shared,113,0.795668549905838
DNABERT-2 seed 42,C,VHL,novel,155,0.8229376257545271
